cityid,city,country,date,Lat,Lng,max_temp,humidity,wind_speed,clouds
144,ugoofaaru,MV,1603937023,5.67,73.0,82.72,72,6.2,39
145,patnos,TR,1603937023,39.23,42.86,48.16,47,4.29,9
146,ukiah,US,1603936689,39.15,-123.21,75.2,17,3.36,1
147,kahului,US,1603936802,20.89,-156.47,87.8,48,20.8,40
148,lompoc,US,1603937012,34.64,-120.46,66.2,39,8.05,1
149,rocky mountain house,CA,1603937024,52.37,-114.92,37.4,86,5.82,100
150,nanortalik,GL,1603937017,60.14,-45.24,32.56,92,9.98,100
151,makakilo city,US,1603936527,21.35,-158.09,82.4,65,12.75,40
152,cayenne,GF,1603936806,4.93,-52.33,78.8,94,9.75,75
153,kathu,TH,1603937025,7.92,98.33,84.99,94,14.99,40
154,palasa,IN,1603937026,18.77,84.42,76.96,59,4.27,1
155,cherskiy,RU,1603937026,68.75,161.3,5.83,94,3.89,90
156,bireun,ID,1603937026,5.2,96.7,82.9,64,2.28,100
157,laguna,US,1603937027,38.42,-121.42,73.4,34,3.04,1
158,camocim,BR,1603937027,-2.9,-40.84,78.51,80,14.63,3
159,chokurdakh,RU,1603937027,70.63,147.92,-3.62,91,7.63,38
160,aguimes,ES,1603937029,27.91,-15.45,70.0,64,12.75,75
161,bud,US,1603937029,39.45,-86.18,50.0,93,4.83,75
162,savona,IT,1603937029,44.3,8.27,59.0,99,2.77,100
163,mabay,PH,1603937029,6.06,124.47,78.8,78,2.24,75
164,avera,US,1603937030,33.19,-82.53,75.2,94,10.29,1
165,leningradskiy,RU,1603936531,69.38,178.42,18.84,91,12.19,93
166,bambous virieux,MU,1603937030,-20.34,57.76,71.01,72,5.01,57
167,codrington,AU,1603936288,-38.27,141.97,52.18,93,6.2,100
168,marawi,PH,1603936536,8.0,124.29,82.0,78,3.0,75
169,swift current,CA,1603936806,50.28,-107.8,35.6,74,1.7,75
170,valparaiso,CL,1603936816,-33.04,-71.63,51.8,81,2.24,0
171,ust-maya,RU,1603937032,60.42,134.53,11.53,93,3.53,100
172,taltal,CL,1603937032,-25.4,-70.48,56.53,73,2.84,23
173,kaspiysk,RU,1603936745,42.88,47.64,62.6,88,15.66,90
174,moose factory,CA,1603937033,51.26,-80.61,26.6,79,8.05,90
175,ormara,PK,1603937033,25.21,64.64,74.44,37,21.5,0
176,xiaoyi,CN,1603937033,34.62,109.7,57.2,63,3.38,0
177,pozo colorado,PY,1603937034,-23.49,-58.8,70.59,93,8.81,100
178,le port,RE,1603936970,-20.94,55.29,66.2,82,3.36,0
179,urumqi,CN,1603937034,43.8,87.6,39.2,64,2.24,0
180,hobyo,SO,1603936528,5.35,48.53,78.76,81,5.53,25
181,tecoanapa,MX,1603937035,16.52,-98.75,80.35,82,5.86,51
182,korla,CN,1603936782,41.76,86.15,48.18,48,12.08,100
183,kununurra,AU,1603937036,-15.77,128.73,93.2,46,5.82,0
184,rio gallegos,AR,1603936521,-51.62,-69.22,50.0,63,24.16,20
185,eureka,US,1603936972,40.8,-124.16,55.99,71,1.59,0
186,tahoua,NE,1603937036,14.89,5.27,75.2,27,7.47,0
187,novaya zaimka,RU,1603937037,56.49,66.92,29.71,96,12.28,93
188,acarau,BR,1603936797,-2.89,-40.12,77.94,83,13.71,22
189,chifeng,CN,1603937037,42.27,118.96,48.02,42,3.4,100
190,santa marta,CO,1603936903,11.24,-74.2,84.0,73,1.01,99
191,tsaratanana,MG,1603937038,-16.78,47.65,69.64,65,9.93,0
192,matata,NZ,1603937038,-37.88,176.75,68.0,83,1.01,94
193,mar del plata,AR,1603936876,-38.0,-57.56,53.01,76,4.7,0
194,bukama,CD,1603937039,-9.2,25.85,69.71,93,3.36,100
195,mahebourg,MU,1603936874,-20.41,57.7,71.01,72,5.01,70
196,careiro da varzea,BR,1603937039,-3.2,-59.81,80.6,78,3.36,40
197,antofagasta,CL,1603936540,-23.65,-70.4,59.0,77,8.05,75
198,tabou,CI,1603937041,4.42,-7.35,77.85,87,4.27,99
199,jamestown,US,1603936849,42.1,-79.24,43.0,81,6.93,1
200,bongor,TD,1603937041,10.28,15.37,76.64,31,7.14,96
201,vinh yen,VN,1603937042,21.31,105.6,71.6,83,8.05,75
